任务名称,专注时间(分钟),完成日期
完成毕业论文初稿,120,2026-03-29
复习高等数学期末,90,2026-03-28
准备英语六级听力,60,2026-03-27
编写ESP32驱动代码,80,2026-03-29
整理实验室器材,30,2026-03-26
制作项目答辩PPT,60,2026-03-25
阅读嵌入式系统教材,45,2026-03-28
跑步5公里锻炼,40,2026-03-24
学习LVGL界面开发,70,2026-03-29
撰写项目周报总结,30,2026-03-27
修改毕业论文参考文献,50,2026-03-23
复习线性代数章节,75,2026-03-22
背诵英语六级词汇,40,2026-03-28
调试FreeRTOS任务调度,90,2026-03-26
清洗实验室仪器设备,25,2026-03-25
准备开题报告答辩,100,2026-03-21
阅读数字信号处理书,50,2026-03-27
骑车10公里训练,45,2026-03-29
完成LVGL动画效果,65,2026-03-28
提交实习申请材料,35,2026-03-20
撰写论文摘要中文版,60,2026-03-19
复习概率论期末题,80,2026-03-25
练习英语口语演讲,45,2026-03-24
优化WiFi连接稳定性,70,2026-03-29
更新个人简历文档,30,2026-03-23
制作实验数据图表,55,2026-03-18
阅读嵌入式RTOS文档,40,2026-03-22
游泳1000米训练,50,2026-03-27
学习Python数据分析,75,2026-03-26
整理课程笔记汇总,35,2026-03-28
研究mbedTLS加密原理,85,2026-03-29
完成数学建模大作业,110,2026-03-17
参加英语角活动练习,30,2026-03-24
实现NVS掉电存储功能,60,2026-03-29
打扫宿舍卫生整洁,20,2026-03-16
完成课程设计报告,90,2026-03-15
阅读控制理论教材,55,2026-03-25
参加晨跑团5公里,35,2026-03-23
学习Git版本管理操作,40,2026-03-27
整理考研复习资料,50,2026-03-22
推导傅里叶变换公式,70,2026-03-14
完成英语写作作业,45,2026-03-26
修复GUI显示BUG,65,2026-03-29
洗衣服整理换季衣物,25,2026-03-13
完成专业实习周报,40,2026-03-21
复习操作系统知识点,80,2026-03-12
练习英语六级写作,50,2026-03-28
调试SPI通信协议,75,2026-03-27
去图书馆借阅资料,20,2026-03-25
学习CMake构建系统,55,2026-03-24
完成微积分习题集,90,2026-03-11
准备奖学金申请材料,35,2026-03-20
复习计算机网络知识,70,2026-03-19
实现LVGL自定义字体,80,2026-03-29
购买实验耗材材料,25,2026-03-10
完成数据结构大作业,85,2026-03-09
阅读论文相关文献,60,2026-03-28
参加体育课羽毛球,40,2026-03-26
学习Docker容器技术,65,2026-03-23
整理实验报告数据,45,2026-03-08
完成编译原理作业,70,2026-03-22
准备英语四级报名,20,2026-03-27
调试I2C传感器驱动,75,2026-03-29
缴纳水电费账单,15,2026-03-07
阅读软件架构设计书,50,2026-03-25
完成毕业设计进度汇报,80,2026-03-06
复习电路分析考点,65,2026-03-21
练习钢琴曲目练习,30,2026-03-28
学习Rust语言基础,70,2026-03-05
维修宿舍台灯开关,15,2026-03-24
完成算法课程作业,75,2026-03-20
参加院系学术讲座,45,2026-03-29
实现蓝牙BLE通信功能,90,2026-03-04
收拾行李准备返校,25,2026-03-23
阅读人工智能导论,55,2026-03-03
回复导师邮件反馈,20,2026-03-27
学习VSCode插件开发,60,2026-03-19
完成高数期中测试,100,2026-03-02
跑步锻炼强度训练,40,2026-03-28
研究ESP32S3芯片手册,85,2026-03-29
整理考试知识思维导图,50,2026-03-18
练习英文论文写作,55,2026-03-01
更新项目GitHub仓库,30,2026-03-26
阅读嵌入式安全文档,45,2026-03-17
完成信号系统课后题,80,2026-02-28
参加同学生日聚餐,35,2026-03-25
学习Linux内核模块,75,2026-02-27
整理专业书目清单,25,2026-03-22
修复ADC采样精度问题,70,2026-03-29
准备组会汇报材料,55,2026-02-26
看病拿药调理身体,30,2026-03-24
完成毕业论文第三章,120,2026-02-25
复习数据库原理知识,65,2026-03-16
学习TensorFlow框架,80,2026-02-24
整理项目文档结构,35,2026-03-21
调试LEDC亮度控制,60,2026-03-29
参加志愿者公益活动,40,2026-02-23
完成操作系统实验,75,2026-03-15
洗头理发收拾仪容,20,2026-03-28
预习下周课程内容,30,2026-03-27
